
Year,Total,Federal,State,Male,Female
2005,1525910,187618,1338292,1418392,107518
2006,1568674,193046,1375628,1456366,112308
2007,1596835,199618,1397217,1482524,114311
2008,1608282,201280,1407002,1493670,114612
2009,1615487,208118,1407369,1502002,113485
2010,1613803,209771,1404032,1500936,112867
2011,1598968,216362,1382606,1487561,111407
2012,1570397,217815,1352582,1461625,108772
2013,1576950,215866,1361084,1465592,111358
2014,1562319,210567,1351752,1449291,113028
2015,1526792,196455,1330337,1415297,111495
